Kommunenummer,Kommunenavn,Valgdistrikt
0101,Halden,Østfold
0104,Moss,Østfold
0105,Sarpsborg,Østfold
0106,Fredrikstad,Østfold
0111,Hvaler,Østfold
0118,Aremark,Østfold
0119,Marker,Østfold
0121,Rømskog,Akershus
0122,Trøgstad,Østfold
0123,Spydeberg,Østfold
0124,Askim,Østfold
0125,Eidsberg,Østfold
0127,Skiptvet,Østfold
0128,Rakkestad,Østfold
0135,Råde,Østfold
0136,Rygge,Østfold
0137,Våler,Østfold
0138,Hobøl,Østfold
0211,Vestby,Akershus
0213,Ski,Akershus
0214,Ås,Akershus
0215,Frogn,Akershus
0216,Nesodden,Akershus
0217,Oppegård,Akershus
0219,Bærum,Akershus
0220,Asker,Akershus
0221,Aurskog-Høland,Akershus
0226,Sørum,Akershus
0227,Fet,Akershus
0228,Rælingen,Akershus
0229,Enebakk,Akershus
0230,Lørenskog,Akershus
0231,Skedsmo,Akershus
0233,Nittedal,Akershus
0234,Gjerdrum,Akershus
0235,Ullensaker,Akershus
0236,Nes,Akershus
0237,Eidsvoll,Akershus
0238,Nannestad,Akershus
0239,Hurdal,Akershus
0301,Oslo,Oslo
0402,Kongsvinger,Hedmark
0403,Hamar,Hedmark
0412,Ringsaker,Hedmark
0415,Løten,Hedmark
0417,Stange,Hedmark
0418,Nord-Odal,Hedmark
0419,Sør-Odal,Hedmark
0420,Eidskog,Hedmark
0423,Grue,Hedmark
0425,Åsnes,Hedmark
0426,Våler,Hedmark
0427,Elverum,Hedmark
0428,Trysil,Hedmark
0429,Åmot,Hedmark
0430,Stor-Elvdal,Hedmark
0432,Rendalen,Hedmark
0434,Engerdal,Hedmark
0436,Tolga,Hedmark
0437,Tynset,Hedmark
0438,Alvdal,Hedmark
0439,Folldal,Hedmark
0441,Os,Hedmark
0501,Lillehammer,Oppland
0502,Gjøvik,Oppland
0511,Dovre,Oppland
0512,Lesja,Oppland
0513,Skjåk,Oppland
0514,Lom,Oppland
0515,Vågå,Oppland
0516,Nord-Fron,Oppland
0517,Sel,Oppland
0519,Sør-Fron,Oppland
0520,Ringebu,Oppland
0521,Øyer,Oppland
0522,Gausdal,Oppland
0528,Østre Toten,Oppland
0529,Vestre Toten,Oppland
0532,Jevnaker,Akershus
0533,Lunner,Akershus
0534,Gran,Oppland
0536,Søndre Land,Oppland
0538,Nordre Land,Oppland
0540,Sør-Aurdal,Oppland
0541,Etnedal,Oppland
0542,Nord-Aurdal,Oppland
0543,Vestre Slidre,Oppland
0544,Øystre Slidre,Oppland
0545,Vang,Oppland
0602,Drammen,Buskerud
0604,Kongsberg,Buskerud
0605,Ringerike,Buskerud
0612,Hole,Buskerud
0615,Flå,Buskerud
0616,Nes,Buskerud
0617,Gol,Buskerud
0618,Hemsedal,Buskerud
0619,Ål,Buskerud
0620,Hol,Buskerud
0621,Sigdal,Buskerud
0622,Krødsherad,Buskerud
0623,Modum,Buskerud
0624,Øvre Eiker,Buskerud
0625,Nedre Eiker,Buskerud
0626,Lier,Buskerud
0627,Røyken,Akershus
0628,Hurum,Akershus
0631,Flesberg,Buskerud
0632,Rollag,Buskerud
0633,Nore og Uvdal,Buskerud
0701,Horten,Vestfold
0704,Tønsberg,Vestfold
0710,Sandefjord,Vestfold
0711,Svelvik,Buskerud
0712,Larvik,Vestfold
0713,Sande,Vestfold
0715,Holmestrand,Vestfold
0716,Re,Vestfold
0729,Færder,Vestfold
0805,Porsgrunn,Telemark
0806,Skien,Telemark
0807,Notodden,Telemark
0811,Siljan,Telemark
0814,Bamble,Telemark
0815,Kragerø,Telemark
0817,Drangedal,Telemark
0819,Nome,Telemark
0821,Bø,Telemark
0822,Sauherad,Telemark
0826,Tinn,Telemark
0827,Hjartdal,Telemark
0828,Seljord,Telemark
0829,Kviteseid,Telemark
0830,Nissedal,Telemark
0831,Fyresdal,Telemark
0833,Tokke,Telemark
0834,Vinje,Telemark
0901,Risør,Aust-Agder
0904,Grimstad,Aust-Agder
0906,Arendal,Aust-Agder
0911,Gjerstad,Aust-Agder
0912,Vegårshei,Aust-Agder
0914,Tvedestrand,Aust-Agder
0919,Froland,Aust-Agder
0926,Lillesand,Aust-Agder
0928,Birkenes,Aust-Agder
0929,Åmli,Aust-Agder
